aggregation,formula,dimension,layers,training_mask,testing_mask,total_graphs,total_positive,total_negative,tries,train_total_correct,train_ratio_correct,train_total_positive_correct,train_ratio_positive_correct,train_total_negative_correct,train_ratio_negative_correct,test_total_correct,test_ratio_correct,test_total_positive_correct,test_ratio_positive_correct,test_total_negative_correct,test_ratio_negative_correct,accuracies_by_neighbor_ranges,num_epochs,progress
max,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,3(#013.txt),55954,0.7523,20972,0.5716,34982,0.9281,56069,0.7538,20963,0.5741,35106,0.9271,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.9375 | accuracy_on_positive=1.0 | accuracy_on_negative=0.8215006050826946
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7643 | accuracy_on_positive=0.621998883305416 | accuracy_on_negative=0.9097658480868075
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.7087 | accuracy_on_positive=0.4471103063226196 | accuracy_on_negative=0.9386023073862882
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.7062 | accuracy_on_positive=0.36512768476238794 | accuracy_on_negative=0.9505754088431254
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.6806 | accuracy_on_positive=0.29596787686130166 | accuracy_on_negative=0.9612989866927115
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.6403 | accuracy_on_positive=0.25 | accuracy_on_negative=0.9708029197080292
",5,"Epoch 001
Loss: 0.5022 
Train Acc: 36690/74382 (49.33%) 
Test Acc:  36515/74382 (49.09%) 
Train Positive Acc: 36690/36690 (100.00%) 
Test Positive Acc:  36515/36515 (100.00%) 
Train Negative Acc: 0/37692 (0.00%) 
Test Negative Acc:  0/37867 (0.00%) 

Epoch 002
Loss: 0.4278 
Train Acc: 38444/74382 (51.68%) 
Test Acc:  38266/74382 (51.45%) 
Train Positive Acc: 36690/36690 (100.00%) 
Test Positive Acc:  36515/36515 (100.00%) 
Train Negative Acc: 1754/37692 (4.65%) 
Test Negative Acc:  1751/37867 (4.62%) 

Epoch 003
Loss: 0.4192 
Train Acc: 39584/74382 (53.22%) 
Test Acc:  39391/74382 (52.96%) 
Train Positive Acc: 35675/36690 (97.23%) 
Test Positive Acc:  35527/36515 (97.29%) 
Train Negative Acc: 3909/37692 (10.37%) 
Test Negative Acc:  3864/37867 (10.20%) 

Epoch 004
Loss: 0.4191 
Train Acc: 40016/74382 (53.80%) 
Test Acc:  39829/74382 (53.55%) 
Train Positive Acc: 36107/36690 (98.41%) 
Test Positive Acc:  35965/36515 (98.49%) 
Train Negative Acc: 3909/37692 (10.37%) 
Test Negative Acc:  3864/37867 (10.20%) 

Epoch 005
Loss: 0.4331 
Train Acc: 55954/74382 (75.23%) 
Test Acc:  56069/74382 (75.38%) 
Train Positive Acc: 20972/36690 (57.16%) 
Test Positive Acc:  20963/36515 (57.41%) 
Train Negative Acc: 34982/37692 (92.81%) 
Test Negative Acc:  35106/37867 (92.71%) 

"
sum,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,3(#014.txt),58965,0.7927,23693,0.6458,35272,0.9358,59414,0.7988,24012,0.6576,35402,0.9349,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8000 | accuracy_on_positive=0.8365906623235614 | accuracy_on_negative=0.7321500605082695
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.7718 | accuracy_on_positive=0.6192071468453378 | accuracy_on_negative=0.9278983438035409
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8082 | accuracy_on_positive=0.5900105628489513 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8098 | accuracy_on_positive=0.5863351936411297 | accuracy_on_negative=0.9698364627498486
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8011 | accuracy_on_positive=0.5926049857788188 | accuracy_on_negative=0.9532413624710048
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8103 | accuracy_on_positive=0.5862068965517241 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.4034 
Train Acc: 57386/74382 (77.15%) 
Test Acc:  57818/74382 (77.73%) 
Train Positive Acc: 24219/36690 (66.01%) 
Test Positive Acc:  24535/36515 (67.19%) 
Train Negative Acc: 33167/37692 (87.99%) 
Test Negative Acc:  33283/37867 (87.89%) 

Epoch 002
Loss: 0.2617 
Train Acc: 57662/74382 (77.52%) 
Test Acc:  58028/74382 (78.01%) 
Train Positive Acc: 24158/36690 (65.84%) 
Test Positive Acc:  24466/36515 (67.00%) 
Train Negative Acc: 33504/37692 (88.89%) 
Test Negative Acc:  33562/37867 (88.63%) 

Epoch 003
Loss: 0.3072 
Train Acc: 58036/74382 (78.02%) 
Test Acc:  58466/74382 (78.60%) 
Train Positive Acc: 24036/36690 (65.51%) 
Test Positive Acc:  24345/36515 (66.67%) 
Train Negative Acc: 34000/37692 (90.20%) 
Test Negative Acc:  34121/37867 (90.11%) 

Epoch 004
Loss: 0.2909 
Train Acc: 59858/74382 (80.47%) 
Test Acc:  60312/74382 (81.08%) 
Train Positive Acc: 23370/36690 (63.70%) 
Test Positive Acc:  23696/36515 (64.89%) 
Train Negative Acc: 36488/37692 (96.81%) 
Test Negative Acc:  36616/37867 (96.70%) 

Epoch 005
Loss: 0.2807 
Train Acc: 58965/74382 (79.27%) 
Test Acc:  59414/74382 (79.88%) 
Train Positive Acc: 23693/36690 (64.58%) 
Test Positive Acc:  24012/36515 (65.76%) 
Train Negative Acc: 35272/37692 (93.58%) 
Test Negative Acc:  35402/37867 (93.49%) 

"
mean,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,2(#015.txt),61411,0.8256,31065,0.8467,30346,0.8051,61000,0.8201,30549,0.8366,30451,0.8042,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8094 | accuracy_on_positive=0.8269272529858849 | accuracy_on_negative=0.7767244856797095
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.8259 | accuracy_on_positive=0.8234226689000559 | accuracy_on_negative=0.8283837806967447
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8315 | accuracy_on_positive=0.8454806096272823 | accuracy_on_negative=0.8191221323431905
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8213 | accuracy_on_positive=0.8621681041772365 | accuracy_on_negative=0.7920048455481526
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8159 | accuracy_on_positive=0.8495900953655681 | accuracy_on_negative=0.7913563667439873
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8063 | accuracy_on_positive=0.7727832512315271 | accuracy_on_negative=0.8347236704900939
",5,"Epoch 001
Loss: 0.4387 
Train Acc: 54949/74382 (73.87%) 
Test Acc:  55263/74382 (74.30%) 
Train Positive Acc: 19079/36690 (52.00%) 
Test Positive Acc:  19299/36515 (52.85%) 
Train Negative Acc: 35870/37692 (95.17%) 
Test Negative Acc:  35964/37867 (94.97%) 

Epoch 002
Loss: 0.3565 
Train Acc: 53716/74382 (72.22%) 
Test Acc:  54192/74382 (72.86%) 
Train Positive Acc: 17380/36690 (47.37%) 
Test Positive Acc:  17521/36515 (47.98%) 
Train Negative Acc: 36336/37692 (96.40%) 
Test Negative Acc:  36671/37867 (96.84%) 

Epoch 003
Loss: 0.2770 
Train Acc: 59932/74382 (80.57%) 
Test Acc:  60173/74382 (80.90%) 
Train Positive Acc: 34536/36690 (94.13%) 
Test Positive Acc:  34201/36515 (93.66%) 
Train Negative Acc: 25396/37692 (67.38%) 
Test Negative Acc:  25972/37867 (68.59%) 

Epoch 004
Loss: 0.2434 
Train Acc: 58937/74382 (79.24%) 
Test Acc:  59114/74382 (79.47%) 
Train Positive Acc: 31098/36690 (84.76%) 
Test Positive Acc:  30480/36515 (83.47%) 
Train Negative Acc: 27839/37692 (73.86%) 
Test Negative Acc:  28634/37867 (75.62%) 

Epoch 005
Loss: 0.1897 
Train Acc: 61411/74382 (82.56%) 
Test Acc:  61000/74382 (82.01%) 
Train Positive Acc: 31065/36690 (84.67%) 
Test Positive Acc:  30549/36515 (83.66%) 
Train Negative Acc: 30346/37692 (80.51%) 
Test Negative Acc:  30451/37867 (80.42%) 

"
mean,psi_6,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,36515,37867,1,72803,0.9788,35391,0.9646,37412,0.9926,72904,0.9801,35250,0.9654,37654,0.9944,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.9824 | accuracy_on_positive=0.9666387493020658 | accuracy_on_negative=0.9985722444317533
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.9724 | accuracy_on_positive=0.9416025350837482 | accuracy_on_negative=0.9994695663705079
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.9743 | accuracy_on_positive=0.9644850329781837 | accuracy_on_negative=0.9813446396123562
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.9771 | accuracy_on_positive=0.9533210640789694 | accuracy_on_negative=0.9945061653033818
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.9577 | accuracy_on_positive=0.9076354679802956 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.5126 
Train Acc: 54474/74382 (73.24%) 
Test Acc:  55018/74382 (73.97%) 
Train Positive Acc: 17406/36690 (47.44%) 
Test Positive Acc:  17608/36515 (48.22%) 
Train Negative Acc: 37068/37692 (98.34%) 
Test Negative Acc:  37410/37867 (98.79%) 

Epoch 002
Loss: 0.3220 
Train Acc: 58045/74382 (78.04%) 
Test Acc:  56226/74382 (75.59%) 
Train Positive Acc: 36456/36690 (99.36%) 
Test Positive Acc:  36334/36515 (99.50%) 
Train Negative Acc: 21589/37692 (57.28%) 
Test Negative Acc:  19892/37867 (52.53%) 

Epoch 003
Loss: 0.0870 
Train Acc: 67134/74382 (90.26%) 
Test Acc:  67170/74382 (90.30%) 
Train Positive Acc: 29611/36690 (80.71%) 
Test Positive Acc:  29426/36515 (80.59%) 
Train Negative Acc: 37523/37692 (99.55%) 
Test Negative Acc:  37744/37867 (99.68%) 

Epoch 004
Loss: 0.0313 
Train Acc: 71192/74382 (95.71%) 
Test Acc:  71292/74382 (95.85%) 
Train Positive Acc: 33614/36690 (91.62%) 
Test Positive Acc:  33481/36515 (91.69%) 
Train Negative Acc: 37578/37692 (99.70%) 
Test Negative Acc:  37811/37867 (99.85%) 

Epoch 005
Loss: 0.0121 
Train Acc: 72803/74382 (97.88%) 
Test Acc:  72904/74382 (98.01%) 
Train Positive Acc: 35391/36690 (96.46%) 
Test Positive Acc:  35250/36515 (96.54%) 
Train Negative Acc: 37412/37692 (99.26%) 
Test Negative Acc:  37654/37867 (99.44%) 

"

max,psi_3*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,3(#004*.txt),55658,0.7483,34915,0.85,20743,0.6228,55496,0.7461,34601,0.8499,20895,0.6206,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8249 | accuracy_on_positive=0.0 | accuracy_on_negative=0.8248870694522868
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.5865 | accuracy_on_positive=0.7479830148619957 | accuracy_on_negative=0.5060266441108057
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.6961 | accuracy_on_positive=0.8248788368336026 | accuracy_on_negative=0.4511570755682982
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.7758 | accuracy_on_positive=0.8622214361513972 | accuracy_on_negative=0.43391608391608394
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8222 | accuracy_on_positive=0.8842259960809928 | accuracy_on_negative=0.4265625
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.8464 | accuracy_on_positive=0.8978494623655914 | accuracy_on_negative=0.41842105263157897
",5,"Epoch 001
Loss: 0.6058 
Train Acc: 54732/74382 (73.58%) 
Test Acc:  54590/74382 (73.39%) 
Train Positive Acc: 35545/41075 (86.54%) 
Test Positive Acc:  35248/40713 (86.58%) 
Train Negative Acc: 19187/33307 (57.61%) 
Test Negative Acc:  19342/33669 (57.45%) 

Epoch 002
Loss: 0.5518 
Train Acc: 55658/74382 (74.83%) 
Test Acc:  55496/74382 (74.61%) 
Train Positive Acc: 34915/41075 (85.00%) 
Test Positive Acc:  34601/40713 (84.99%) 
Train Negative Acc: 20743/33307 (62.28%) 
Test Negative Acc:  20895/33669 (62.06%) 

Epoch 003
Loss: 0.5368 
Train Acc: 55658/74382 (74.83%) 
Test Acc:  55496/74382 (74.61%) 
Train Positive Acc: 34915/41075 (85.00%) 
Test Positive Acc:  34601/40713 (84.99%) 
Train Negative Acc: 20743/33307 (62.28%) 
Test Negative Acc:  20895/33669 (62.06%) 

Epoch 004
Loss: 0.5321 
Train Acc: 55658/74382 (74.83%) 
Test Acc:  55496/74382 (74.61%) 
Train Positive Acc: 34915/41075 (85.00%) 
Test Positive Acc:  34601/40713 (84.99%) 
Train Negative Acc: 20743/33307 (62.28%) 
Test Negative Acc:  20895/33669 (62.06%) 

Epoch 005
Loss: 0.5297 
Train Acc: 55658/74382 (74.83%) 
Test Acc:  55496/74382 (74.61%) 
Train Positive Acc: 34915/41075 (85.00%) 
Test Positive Acc:  34601/40713 (84.99%) 
Train Negative Acc: 20743/33307 (62.28%) 
Test Negative Acc:  20895/33669 (62.06%) 

"
sum,psi_3*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,1,74382,1.0,41075,1.0,33307,1.0,74382,1.0,40713,1.0,33669,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",2,"Epoch 001
Loss: 0.2009 
Train Acc: 73710/74382 (99.10%) 
Test Acc:  73706/74382 (99.09%) 
Train Positive Acc: 40403/41075 (98.36%) 
Test Positive Acc:  40037/40713 (98.34%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

Epoch 002
Loss: 0.0826 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 41075/41075 (100.00%) 
Test Positive Acc:  40713/40713 (100.00%) 
Train Negative Acc: 33307/33307 (100.00%) 
Test Negative Acc:  33669/33669 (100.00%) 

"
mean,psi_3*,2,2,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,40713,33669,3(#006*.txt),53956,0.7254,28130,0.6848,25826,0.7754,52613,0.7073,26412,0.6487,26201,0.7782,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.6312 | accuracy_on_positive=0.0 | accuracy_on_negative=0.6312111801242236
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.8315 | accuracy_on_positive=0.9681528662420382 | accuracy_on_negative=0.7633749207020512
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.8178 | accuracy_on_positive=0.7225632740980076 | accuracy_on_negative=0.9989760393200902
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.6891 | accuracy_on_positive=0.6104527767951893 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.6119 | accuracy_on_positive=0.5511103853690399 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.5280 | accuracy_on_positive=0.4712207463630613 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.6033 
Train Acc: 54313/74382 (73.02%) 
Test Acc:  53218/74382 (71.55%) 
Train Positive Acc: 28782/41075 (70.07%) 
Test Positive Acc:  27317/40713 (67.10%) 
Train Negative Acc: 25531/33307 (76.65%) 
Test Negative Acc:  25901/33669 (76.93%) 

Epoch 002
Loss: 0.5573 
Train Acc: 53714/74382 (72.21%) 
Test Acc:  52139/74382 (70.10%) 
Train Positive Acc: 27891/41075 (67.90%) 
Test Positive Acc:  25939/40713 (63.71%) 
Train Negative Acc: 25823/33307 (77.53%) 
Test Negative Acc:  26200/33669 (77.82%) 

Epoch 003
Loss: 0.5508 
Train Acc: 53913/74382 (72.48%) 
Test Acc:  52496/74382 (70.58%) 
Train Positive Acc: 28082/41075 (68.37%) 
Test Positive Acc:  26287/40713 (64.57%) 
Train Negative Acc: 25831/33307 (77.55%) 
Test Negative Acc:  26209/33669 (77.84%) 

Epoch 004
Loss: 0.5483 
Train Acc: 54040/74382 (72.65%) 
Test Acc:  52685/74382 (70.83%) 
Train Positive Acc: 28251/41075 (68.78%) 
Test Positive Acc:  26515/40713 (65.13%) 
Train Negative Acc: 25789/33307 (77.43%) 
Test Negative Acc:  26170/33669 (77.73%) 

Epoch 005
Loss: 0.5472 
Train Acc: 53956/74382 (72.54%) 
Test Acc:  52613/74382 (70.73%) 
Train Positive Acc: 28130/41075 (68.48%) 
Test Positive Acc:  26412/40713 (64.87%) 
Train Negative Acc: 25826/33307 (77.54%) 
Test Negative Acc:  26201/33669 (77.82%) 

"
max,psi_4*,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,3(#007*.txt),42434,0.5705,0,0.0,42434,1.0,42068,0.5656,0,0.0,42068,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.8000 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.2830 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.3912 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.5924 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.7112 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.7657 | accuracy_on_positive=0.0 | accuracy_on_negative=1.0
",5,"Epoch 001
Loss: 0.6748 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 002
Loss: 0.6363 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 003
Loss: 0.6175 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 004
Loss: 0.6119 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 005
Loss: 0.6089 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

"
sum,psi_4*,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,1,74382,1.0,31948,1.0,42434,1.0,74382,1.0,32314,1.0,42068,1.0,"  [  0-  3] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  4-  7] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [  8- 11] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 12- 15] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 16- 19] root neighbors | graphs=14168 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
  [ 20- 23] root neighbors | graphs=3542 | accuracy=1.0000 | accuracy_on_positive=1.0 | accuracy_on_negative=1.0
",2,"Epoch 001
Loss: 0.5754 
Train Acc: 73721/74382 (99.11%) 
Test Acc:  73753/74382 (99.15%) 
Train Positive Acc: 31948/31948 (100.00%) 
Test Positive Acc:  32314/32314 (100.00%) 
Train Negative Acc: 41773/42434 (98.44%) 
Test Negative Acc:  41439/42068 (98.50%) 

Epoch 002
Loss: 0.1229 
Train Acc: 74382/74382 (100.00%) 
Test Acc:  74382/74382 (100.00%) 
Train Positive Acc: 31948/31948 (100.00%) 
Test Positive Acc:  32314/32314 (100.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

"
mean,psi_4*,6,6,"[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]","[3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542, 3542]",74382,32314,42068,3(#009*.txt),52549,0.7065,14553,0.4555,37996,0.8954,51693,0.695,14642,0.4531,37051,0.8807,"  [  0-  3] root neighbors | graphs=14168 | accuracy=0.7250 | accuracy_on_positive=0.0 | accuracy_on_negative=0.9062196735774151
  [  4-  7] root neighbors | graphs=14168 | accuracy=0.3188 | accuracy_on_positive=0.22512058273452112 | accuracy_on_negative=0.5562484410077326
  [  8- 11] root neighbors | graphs=14168 | accuracy=0.6829 | accuracy_on_positive=0.48486956521739133 | accuracy_on_negative=0.9911600216489266
  [ 12- 15] root neighbors | graphs=14168 | accuracy=0.8979 | accuracy_on_positive=0.7622510822510823 | accuracy_on_negative=0.9911831287978077
  [ 16- 19] root neighbors | graphs=14168 | accuracy=0.8399 | accuracy_on_positive=0.7888563049853372 | accuracy_on_negative=0.8606589916633585
  [ 20- 23] root neighbors | graphs=3542 | accuracy=0.7360 | accuracy_on_positive=0.6542168674698795 | accuracy_on_negative=0.7610619469026548
",5,"Epoch 001
Loss: 0.6641 
Train Acc: 42434/74382 (57.05%) 
Test Acc:  42068/74382 (56.56%) 
Train Positive Acc: 0/31948 (0.00%) 
Test Positive Acc:  0/32314 (0.00%) 
Train Negative Acc: 42434/42434 (100.00%) 
Test Negative Acc:  42068/42068 (100.00%) 

Epoch 002
Loss: 0.6366 
Train Acc: 50160/74382 (67.44%) 
Test Acc:  49565/74382 (66.64%) 
Train Positive Acc: 11035/31948 (34.54%) 
Test Positive Acc:  10862/32314 (33.61%) 
Train Negative Acc: 39125/42434 (92.20%) 
Test Negative Acc:  38703/42068 (92.00%) 

Epoch 003
Loss: 0.5597 
Train Acc: 52385/74382 (70.43%) 
Test Acc:  51624/74382 (69.40%) 
Train Positive Acc: 14414/31948 (45.12%) 
Test Positive Acc:  14582/32314 (45.13%) 
Train Negative Acc: 37971/42434 (89.48%) 
Test Negative Acc:  37042/42068 (88.05%) 

Epoch 004
Loss: 0.5446 
Train Acc: 52617/74382 (70.74%) 
Test Acc:  51804/74382 (69.65%) 
Train Positive Acc: 14950/31948 (46.79%) 
Test Positive Acc:  15139/32314 (46.85%) 
Train Negative Acc: 37667/42434 (88.77%) 
Test Negative Acc:  36665/42068 (87.16%) 

Epoch 005
Loss: 0.5417 
Train Acc: 52549/74382 (70.65%) 
Test Acc:  51693/74382 (69.50%) 
Train Positive Acc: 14553/31948 (45.55%) 
Test Positive Acc:  14642/32314 (45.31%) 
Train Negative Acc: 37996/42434 (89.54%) 
Test Negative Acc:  37051/42068 (88.07%) 

"
