aggregation;formula;dimension;layers;train_source;train_size_range;test_source;test_size_range;num_epochs;has_progress_log;final_train_acc;final_test_acc;acc_size_1-10;acc_size_11-20;acc_size_21-30;acc_size_31-40;acc_size_41-50;acc_size_51-60;acc_size_61-70;acc_size_71-80;acc_size_81-90;acc_size_91-100;acc_set_RG;acc_set_CG;acc_set_HC
sum;psi_17;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9883;0,9921;;;;;;0,9946;0,9892;0,9947;0,9965;0,9864;0,7721;0,9911;0,6591
sum;psi_18;2;2;CG;1-50;CG;51-100;2000;TRUE;0,9624;0,9709;;;;;;0,9588;0,9708;0,9763;0,9755;0,9697;0,9505;0,9688;0,7829
sum;psi_18;3;3;CG;1-50;CG;51-100;2000;TRUE;0,91;0,9173;;;;;;0,9391;0,9478;0,9261;0,9068;0,8862;0,4471;0,9154;0,5189
sum;psi_18;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9601;0,9707;;;;;;0,9642;0,9693;0,971;0,979;0,9676;0,761;0,968;0,6212
sum;psi_18;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9757;0,9831;;;;;;0,9821;0,9954;0,9868;0,9848;0,9708;0,9501;0,9812;0,6176
sum;psi_18;6;6;CG;1-50;CG;51-100;2000;TRUE;0,9867;0,9897;;;;;;0,9892;0,9908;0,9894;0,9883;0,9906;0,9467;0,9889;0,635
sum;psi_19;2;2;CG;1-50;CG;51-100;2000;TRUE;0,8443;0,8221;;;;;;0,8154;0,8356;0,785;0,8275;0,8413;0,3904;0,8277;0,4438
sum;psi_19;3;3;CG;1-50;CG;51-100;2000;TRUE;0,8732;0,8641;;;;;;0,8638;0,8863;0,8285;0,8613;0,88;0,4455;0,8664;0,3974
sum;psi_19;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9241;0,9437;;;;;;0,948;0,8725;0,9288;0,9767;0,9718;0,6916;0,9387;0,5996
sum;psi_19;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9225;0,9231;;;;;;0,9534;0,9048;0,8905;0,9406;0,928;0,6833;0,9229;0,4557
sum;psi_19;6;6;CG;1-50;CG;51-100;2000;TRUE;0,9765;0,9707;;;;;;0,9803;0,8955;0,9802;0,9895;0,9916;0,6807;0,9721;0,4377
mean;psi_17;2;2;CG;1-50;CG;51-100;2000;TRUE;0,5321;0,5274;;;;;;0,5125;0,5038;0,5277;0,5431;0,5376;0,7545;0,5286;0,5712
mean;psi_17;3;3;CG;1-50;CG;51-100;2000;TRUE;0,903;0,9165;;;;;;0,8978;0,8955;0,9156;0,9324;0,928;0,7543;0,9131;0,6068
mean;psi_17;4;4;CG;1-50;CG;51-100;2000;TRUE;0,9836;0,9897;;;;;;0,9946;0,9877;0,9908;0,9942;0,9833;0,6583;0,9881;0,5343
mean;psi_17;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9335;0,9408;;;;;;0,9444;0,937;0,9433;0,9452;0,9353;0,7574;0,9389;0,5991
mean;psi_18;2;2;CG;1-50;CG;51-100;2000;TRUE;0,8654;0,8673;;;;;;0,8495;0,8464;0,8641;0,8858;0,8779;0,5551;0,8668;0,4987
mean;psi_18;3;3;CG;1-50;CG;51-100;2000;TRUE;0,9139;0,904;;;;;;0,9122;0,9124;0,905;0,9056;0,8914;0,6247;0,9065;0,5418
mean;psi_18;4;4;CG;1-50;CG;51-100;2000;TRUE;0,8787;0,8903;;;;;;0,8763;0,874;0,8839;0,8963;0,9092;0,8635;0,8874;0,6087
mean;psi_18;5;5;CG;1-50;CG;51-100;2000;TRUE;0,8787;0,8887;;;;;;0,8763;0,874;0,8813;0,8939;0,9071;0,6084;0,8862;0,4865
mean;psi_18;6;6;CG;1-50;CG;51-100;2000;TRUE;0,892;0,917;;;;;;0,9194;0,9324;0,9274;0,9161;0,8977;0,8686;0,9107;0,6149
mean;psi_19;2;2;CG;1-50;CG;51-100;2000;TRUE;0,7754;0,7729;;;;;;0,7903;0,7573;0,7441;0,7867;0,7839;0,6716;0,7736;0,4724
mean;psi_19;3;3;CG;1-50;CG;51-100;2000;TRUE;0,7543;0,7589;;;;;;0,7688;0,7773;0,7216;0,7646;0,7651;0,6825;0,7578;0,4416
mean;psi_19;4;4;CG;1-50;CG;51-100;2000;TRUE;0,7543;0,7589;;;;;;0,7688;0,7773;0,7216;0,7646;0,7651;0,6825;0,7578;0,4416
mean;psi_19;5;5;CG;1-50;CG;51-100;2000;TRUE;0,9147;0,9292;;;;;;0,9301;0,8879;0,8997;0,9557;0,9562;0,4289;0,9255;0,4118
mean;psi_19;6;6;CG;1-50;CG;51-100;2000;TRUE;0,7543;0,7589;;;;;;0,7688;0,7773;0,7216;0,7646;0,7651;0,6825;0,7578;0,4416
max;psi_17;2;2;HC;1-50;HC;51-100;2000;TRUE;0,7698;0,7755;;;;;;0,7074;0,8221;0,7577;0,7602;0,8134;0,7876;0,9204;0,774
max;psi_17;3;3;HC;1-50;HC;51-100;2000;TRUE;0,7691;0,7739;;;;;;0,7074;0,8206;0,7563;0,7567;0,8124;0,787;0,9204;0,7727
max;psi_17;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7706;0,7755;;;;;;0,7074;0,8221;0,7577;0,7602;0,8134;0,7876;0,9204;0,7742
max;psi_17;5;5;HC;1-50;HC;51-100;2000;TRUE;0,8484;0,8533;;;;;;0,7986;0,888;0,9001;0,8327;0,8443;0,8008;0,9917;0,8521
max;psi_18;2;2;HC;1-50;HC;51-100;2000;TRUE;0,7753;0,8814;;;;;;0,8055;0,8696;0,9055;0,8947;0,9051;0,9736;0,3784;0,8544
max;psi_18;3;3;HC;1-50;HC;51-100;2000;TRUE;0,776;0,8864;;;;;;0,8296;0,862;0,9201;0,8842;0,9136;0,9754;0,2681;0,8584
max;psi_18;4;4;HC;1-50;HC;51-100;2000;TRUE;0,8927;0,9248;;;;;;0,8795;0,9126;0,9507;0,9298;0,936;0,9812;0,8615;0,9167
max;psi_18;5;5;HC;1-50;HC;51-100;2000;TRUE;0,8997;0,9418;;;;;;0,9208;0,9233;0,9494;0,9427;0,9606;0,9834;0,8577;0,9311
max;psi_18;6;6;HC;1-50;HC;51-100;2000;TRUE;0,8872;0,9312;;;;;;0,9122;0,911;0,9534;0,924;0,9456;0,9806;0,8587;0,92
max;psi_19;2;2;HC;1-50;HC;51-100;2000;TRUE;0,7372;0,6066;;;;;;0,6644;0,566;0,6192;0,5977;0,597;0,6994;0,6888;0,6397
max;psi_19;3;3;HC;1-50;HC;51-100;2000;TRUE;0,7045;0,6002;;;;;;0,6695;0,5644;0,6112;0,5918;0,581;0,7061;0,7149;0,6267
max;psi_19;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7411;0,6182;;;;;;0,7177;0,5629;0,6218;0,6;0,6087;0,7117;0,7639;0,6494
max;psi_19;5;5;HC;1-50;HC;51-100;2000;TRUE;0,6633;0,5608;;;;;;0,6386;0,5261;0,5659;0,5661;0,5277;0,7029;0,6615;0,5868
max;psi_19;6;6;HC;1-50;HC;51-100;2000;TRUE;0,7776;0,6272;;;;;;0,7108;0,6012;0,6338;0,6246;0,5906;0,7107;0,7686;0,6654
sum;psi_17;2;2;HC;1-50;HC;51-100;2000;TRUE;0,6586;0,7172;;;;;;0,6059;0,7638;0,7084;0,7006;0,7761;0,7731;0,5286;0,7024
sum;psi_17;3;3;HC;1-50;HC;51-100;2000;TRUE;0,6571;0,7413;;;;;;0,6368;0,7699;0,7776;0,7193;0,7772;0,7703;0,6635;0,7199
sum;psi_17;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7224;0,7434;;;;;;0,6248;0,7837;0,8083;0,7064;0,7708;0,7774;0,8141;0,7381
sum;psi_17;5;5;HC;1-50;HC;51-100;2000;TRUE;0,7107;0,7453;;;;;;0,6558;0,7991;0,7124;0,7404;0,7942;0,7761;0,528;0,7365
sum;psi_18;2;2;HC;1-50;HC;51-100;2000;TRUE;0,6003;0,7625;;;;;;0,7711;0,7439;0,6858;0,8211;0,7783;0,9518;0,722;0,7213
sum;psi_18;3;3;HC;1-50;HC;51-100;2000;TRUE;0,8631;0,9277;;;;;;0,9139;0,8957;0,9374;0,9193;0,9584;0,9808;0,8089;0,9113
sum;psi_18;4;4;HC;1-50;HC;51-100;2000;TRUE;0,8841;0,9126;;;;;;0,8399;0,8988;0,9441;0,9053;0,9488;0,9808;0,6621;0,9054
sum;psi_18;5;5;HC;1-50;HC;51-100;2000;TRUE;0,9106;0,9412;;;;;;0,895;0,9294;0,9627;0,9462;0,9563;0,9843;0,865;0,9334
sum;psi_18;6;6;HC;1-50;HC;51-100;2000;TRUE;0,9106;0,9357;;;;;;0,8898;0,9126;0,9587;0,9404;0,9574;0,9828;0,8394;0,9293
sum;psi_19;2;2;HC;1-50;HC;51-100;2000;TRUE;0,5855;0,5245;;;;;;0,6145;0,5368;0,4461;0,5883;0,4648;0,6934;0,758;0,54
sum;psi_19;3;3;HC;1-50;HC;51-100;2000;TRUE;0,7737;0,6375;;;;;;0,7022;0,6058;0,6405;0,6257;0,6279;0,7101;0,7585;0,6721
sum;psi_19;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7659;0,646;;;;;;0,6661;0,5905;0,6698;0,6561;0,6439;0,7025;0,3136;0,6765
sum;psi_19;5;5;HC;1-50;HC;51-100;2000;TRUE;0,7045;0,7024;;;;;;0,7057;0,6626;0,747;0,6854;0,7079;0,7057;0,3021;0,7029
sum;psi_19;6;6;HC;1-50;HC;51-100;2000;TRUE;0,7807;0,655;;;;;;0,7108;0,6288;0,7337;0,6304;0,5981;0,7124;0,7856;0,6869
mean;psi_17;2;2;HC;1-50;HC;51-100;2000;TRUE;0,7683;0,7707;;;;;;0,7074;0,8067;0,7577;0,7544;0,8102;0,7826;0,9202;0,7701
mean;psi_17;3;3;HC;1-50;HC;51-100;2000;TRUE;0,6858;0,7199;;;;;;0,6041;0,7638;0,7111;0,7088;0,7783;0,7737;0,6254;0,7112
mean;psi_17;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7729;0,7967;;;;;;0,6954;0,8083;0,8522;0,7906;0,8124;0,7848;0,9453;0,7906
mean;psi_17;5;5;HC;1-50;HC;51-100;2000;TRUE;0,7675;0,7705;;;;;;0,7074;0,8052;0,7563;0,7567;0,8092;0,7852;0,9202;0,7697
mean;psi_18;2;2;HC;1-50;HC;51-100;2000;TRUE;0,5995;0,7588;;;;;;0,7418;0,7439;0,6884;0,8211;0,7793;0,9568;0,3784;0,7183
mean;psi_18;3;3;HC;1-50;HC;51-100;2000;TRUE;0,8281;0,9161;;;;;;0,8778;0,8896;0,9321;0,9158;0,9456;0,9792;0,7682;0,8937
mean;psi_18;4;4;HC;1-50;HC;51-100;2000;TRUE;0,7885;0,8822;;;;;;0,8227;0,8543;0,9108;0,8865;0,9115;0,9732;0,4211;0,8584
mean;psi_18;5;5;HC;1-50;HC;51-100;2000;TRUE;0,9339;0,9611;;;;;;0,9518;0,934;0,9707;0,9614;0,9776;0,9863;0,8724;0,9542
mean;psi_18;6;6;HC;1-50;HC;51-100;2000;TRUE;0,9238;0,9508;;;;;;0,9294;0,9325;0,9627;0,9415;0,9755;0,9847;0,8666;0,9439
mean;psi_19;2;2;HC;1-50;HC;51-100;2000;TRUE;0,7729;0,6386;;;;;;0,7418;0,6043;0,6431;0,6281;0,6045;0,7095;0,7611;0,6727
mean;psi_19;3;3;HC;1-50;HC;51-100;2000;TRUE;0,7379;0,6124;;;;;;0,6919;0,5644;0,6218;0,6082;0,5928;0,7059;0,6975;0,6443
mean;psi_19;4;4;HC;1-50;HC;51-100;2000;TRUE;0,8126;0,727;;;;;;0,7487;0,7408;0,767;0,7602;0,6418;0,7128;0,7661;0,7488
mean;psi_19;5;5;HC;1-50;HC;51-100;2000;TRUE;0,8064;0,7;;;;;;0,7608;0,7255;0,6924;0,7404;0,6141;0,714;0,8164;0,727
mean;psi_19;6;6;HC;1-50;HC;51-100;2000;TRUE;0,7061;0,6624;;;;;;0,7057;0,6687;0,6631;0,7029;0,5938;0,7077;0,7702;0,6735
max;psi_17;2;2;all;1-50;all;51-100;2000;TRUE;0,5667;0,6355;;;;;;0,6054;0,6434;0,6028;0,6565;0,6549;0,7545;0,5286;0,5712
max;psi_17;3;3;all;1-50;all;51-100;2000;TRUE;0,7608;0,8125;;;;;;0,7761;0,8105;0,837;0,8015;0,8261;0,7487;0,9611;0,6879
max;psi_17;4;4;all;1-50;all;51-100;2000;TRUE;0,9223;0,9001;;;;;;0,9008;0,9062;0,9151;0,8851;0,8972;0,8319;0,9921;0,8931
max;psi_17;5;5;all;1-50;all;51-100;2000;TRUE;0,8428;0,8486;;;;;;0,8163;0,8514;0,8507;0,846;0,8665;0,7909;0,9652;0,7851
max;psi_18;2;2;all;1-50;all;51-100;2000;TRUE;0,8867;0,939;;;;;;0,925;0,9334;0,9516;0,9398;0,9405;0,9768;0,8969;0,9034
max;psi_18;3;3;all;1-50;all;51-100;2000;TRUE;0,9009;0,9544;;;;;;0,9533;0,9534;0,9636;0,9496;0,9528;0,978;0,9391;0,9052
max;psi_18;4;4;all;1-50;all;51-100;2000;TRUE;0,9058;0,9414;;;;;;0,9209;0,9426;0,9569;0,9406;0,9412;0,9806;0,9225;0,8939
max;psi_18;5;5;all;1-50;all;51-100;2000;TRUE;0,9566;0,9812;;;;;;0,9752;0,9805;0,9871;0,9789;0,9827;0,9867;0,9901;0,9481
max;psi_18;6;6;all;1-50;all;51-100;2000;TRUE;0,8627;0,943;;;;;;0,9273;0,9349;0,9529;0,9418;0,9511;0,9782;0,9154;0,874
max;psi_19;2;2;all;1-50;all;51-100;2000;TRUE;0,7525;0,7106;;;;;;0,7401;0,7034;0,6961;0,7159;0,7046;0,7115;0,7757;0,6767
max;psi_19;3;3;all;1-50;all;51-100;2000;TRUE;0,7043;0,7122;;;;;;0,7283;0,7372;0,6859;0,7304;0,6898;0,7059;0,7886;0,636
max;psi_19;4;4;all;1-50;all;51-100;2000;TRUE;0,7822;0,751;;;;;;0,7714;0,7167;0,7414;0,764;0,7585;0,7152;0,914;0,6476
max;psi_19;5;5;all;1-50;all;51-100;2000;TRUE;0,6996;0,6945;;;;;;0,7177;0,6819;0,6846;0,6971;0,6947;0,7071;0,7578;0,6226
max;psi_19;6;6;all;1-50;all;51-100;2000;TRUE;0,799;0,7812;;;;;;0,7992;0,7398;0,7943;0,7773;0,7923;0,719;0,9425;0,6956
sum;psi_17;2;2;all;1-50;all;51-100;2000;TRUE;0,7739;0,809;;;;;;0,7566;0,811;0,817;0,8124;0,8296;0,7761;0,9121;0,712
sum;psi_17;3;3;all;1-50;all;51-100;2000;TRUE;0,7935;0,8188;;;;;;0,775;0,8151;0,8232;0,8195;0,8433;0,7816;0,9178;0,7375
sum;psi_17;4;4;all;1-50;all;51-100;2000;TRUE;0,84;0,8475;;;;;;0,8193;0,8535;0,8481;0,8484;0,8588;0,7895;0,9474;0,7995
sum;psi_17;5;5;all;1-50;all;51-100;2000;TRUE;0,7868;0,8464;;;;;;0,8092;0,8422;0,8761;0,8367;0,8567;0,7739;0,9903;0,7292
sum;psi_18;2;2;all;1-50;all;51-100;2000;TRUE;0,8963;0,9365;;;;;;0,935;0,9406;0,9454;0,9301;0,9335;0,9841;0,8674;0,9273
sum;psi_18;3;3;all;1-50;all;51-100;2000;TRUE;0,9148;0,9625;;;;;;0,948;0,9636;0,9711;0,9535;0,9718;0,9814;0,9551;0,9147
sum;psi_18;4;4;all;1-50;all;51-100;2000;TRUE;0,9378;0,9657;;;;;;0,9569;0,9677;0,9756;0,9609;0,9662;0,9853;0,964;0,9265
sum;psi_18;5;5;all;1-50;all;51-100;2000;TRUE;0,8839;0,9334;;;;;;0,9203;0,9411;0,952;0,9183;0,9349;0,9812;0,9129;0,8685
sum;psi_18;6;6;all;1-50;all;51-100;2000;TRUE;0,8875;0,9374;;;;;;0,9203;0,9324;0,9529;0,9336;0,9423;0,978;0,9289;0,8673
sum;psi_19;2;2;all;1-50;all;51-100;2000;TRUE;0,7455;0,7339;;;;;;0,7407;0,7377;0,7552;0,7405;0,7042;0,7128;0,7864;0,7112
sum;psi_19;3;3;all;1-50;all;51-100;2000;TRUE;0,6046;0,6359;;;;;;0,6751;0,6327;0,5864;0,6671;0,6257;0,6825;0,7578;0,4436
sum;psi_19;4;4;all;1-50;all;51-100;2000;TRUE;0,7572;0,7205;;;;;;0,7448;0,7111;0,7112;0,7225;0,718;0,6714;0,8619;0,6561
sum;psi_19;5;5;all;1-50;all;51-100;2000;TRUE;0,8044;0,7612;;;;;;0,7874;0,7403;0,7534;0,7687;0,7595;0,7089;0,9401;0,6676
sum;psi_19;6;6;all;1-50;all;51-100;2000;TRUE;0,7543;0,7196;;;;;;0,7247;0,7392;0,6828;0,7562;0,6993;0,6964;0,8222;0,6668
mean;psi_17;2;2;all;1-50;all;51-100;2000;TRUE;0,8175;0,8297;;;;;;0,7939;0,8309;0,8316;0,8281;0,8504;0,7872;0,9204;0,7723
